Proposed standard spelling for our dataset (MK),Term,English,spelling variations,in our dataset? y/n,in 2ndary glossaries y/n,Description,object type,fiber type,color,how color applied,pattern,weave type,quality,Source Location?,Exported to:,(in purple): modifiers from our data (full text),modifier: color,modifier: pattern,modifier: place,modifier: fiber,modifer: quality,modifier: size,modifier: other or unknown,Category,Subcategory,Piece size,Image:,Notes
,charadaries,,"carridaries, cherryderries, caladaris",,y,"I1966: striped or checkered woven cloth, probably mixed silk and cotton, first mentioned late 17th century; Alpern: cotton in blues and browns, or white with red or black stripes; sometimes mixed with silk (colors not consistent in definitions)",textile,cotton; cotton/silk,varies,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; check; solid (single color),plainweave,,I1966: Northeast India,Africa,,,,,,,,,textile,,,,
charconnaes,charconnaes,,"cherconnaes, charchanijs",y,y,"I1966: striped or checkered cloth of mixed silk and cotton, exported only in small quantities; Alpern:striped or checked cotton cloth dyed in the threads",textile,cotton; cotton/silk,varies,colored threads (loom-patterned),stripe; check,plainweave,,I1966: Northeast India: Orissa,,,,,,,,,,textile,,,,
,chasselas,,,,y,Alpern: cheap striped or checked fabric mentioned in French sources,textile,,multiple,colored threads (loom-patterned),stripe; check,,,,,,,,,,,,,,,,,
,chauderijkleed,,,y,,see CHAUTARS,,,,,,,,,,,,,,,,,,,,,,
,chauls,,tjavellis,,y,VOC: fine silk textile from Chaul (near Bengal) similar to armozijn,textile,silk,,,,,,,,,,,,,,,,,,,,
chautars,chautars,,"chowters, chiuters, chauter, chauderes, siauterchiuters deriabadys (don't confuse with chadars), chauderijkleed",y,y,"I1966: plain white calico, superior quality, used for shirting",textile,cotton,white,white,N/A,plainweave,superior,"I1966: Northwest India, many parts of",I1966: Malay archipelago for shirting,"deriabadys (place), of sjaal",,,Deriabadys,,,,of sjaal,textile,,,,There is also deriabadys as a textile type…
chelas,chelas,,"chillaes, chelloes, sealaes, selaus - unclear if chelloes, chillies, and chelas are the same",y,y,"cotton handkerchief, usually striped blue and white, definitions describe varying origins and levels of quality and also varying colors - inconsistent",textile/handkerchief,cotton,blue/white; varies,colored threads (loom-patterned),striped,plainweave,,I1966: Northeast India,"I1966: England, small quantities, in end of 17th century; Africa",geruit (kust),,checkered,coast,,,,,handkerchief,,,,
,chelloes,,"unclear if chelloes, chillies, and chelas are the same",,,"I1966: cheap cotton cloth with red, blue, or black stripes, patterned on the loom, not mentioned before end of 17th century, also there was a silky variation",textile,cotton; silk,,colored threads (loom-patterned),stripe,plainweave,cheap or fine,"I1966: Northwest India, the best were from Sind",I1966: probably only for slave markets,,,,,,,,,textile,,,,
,cherperlier,,,n,y,"VOC: linen or cotton binding for bales of silk, with markings about content",textile/utilitarian,cotton; linen,,,,,,,,,,,,,,,,,,,,
,chiadder boraal,,"borael, broules, sjadderboraal",y,y,see BRAWLES,,,,,,,,,,wit,white,,,,,,,textile,,,,
chiammewaerts,chiammewaerts,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
chiavonijs,chiavonijs,,"chaven, chavonijs, tjavenis",y,y,"thin muslin-like white cotton cloth, size is 5 vadem by 2.5, with colored stripes? at edge (2 consistent definitions drawing from same source)",textile,cotton,white with borders?,colored threads (loom-patterned),border stripe,plainweave,fine,,,"bleached (coast/Pulikats), red","bleached, red",,"coast, Pulicats",,,,,,,,,
,chicacols,,,n,y,"cloth from Chicacol in Golconda, generally seen with another textile name like bethilles (only one definition)",textile,,,,,,,,,,,,,,,,,,,,,
chillies,chillies,,"chellies, chelloes",,y,"I1966: cheap checkered cotton cloth; Watson1873 - maybe something fancier?; Peck2013 says it's same quality as guinea stuff; RP: handkerchief, cotton, striped or checkered blue and white, made in north-east India, exported mainly to Malay archipelago",textile,cotton,multiple,colored threads (loom-patterned),stripe; check,plainweave,cheap,"I1966: South India/Coromandel Coast, mainly in Madras area",I1966: Malay archipelago,,,,,,,,,textile,,,,
silk,Chinese Silk,Chinese silk,,y,,"presumably raw silk (thread), which is packed in bales and sold by weight (Colenbranderp15)",yarn or fiber,silk,,,,N/A,,China,,,,,,,,,,unprocessed fiber,,,,
chintz,chintz,chintz,"chintes, sits, tschijndes, chint, chitz, tjita (Malay), tjinde (Javanese), chintz, chindos, chits, tsjints, pintadoes (Portuguese)",y,y,"painted or printed cotton cloth using multiple stages of blocking and dyeing I1966: any painted or printed calico; VOCgp106: colorfully decorated cotton or silk, usually used as a belt or turban (there is a description of the decoration process)",textile,cotton; silk,varies,painted; printed,,plainweave,,I1966: India,Africa,"chiaboutrias, chironse (cherongse), metselia =? met zilia nieuwe modese van Bengal, geschildered (klein/kust/Machilipatnams), fine geschildered, from Pattena, silk?, bengals, fine coast, gedrukt, gedrukt coast/Machilipatnams/Surats, painted coast, (ordnaris) (breed/smal) Surats, ordinaris, ordinaris breed/Surats, verguld (coast)",gilded (verguld),"painted, printed","Bengal, Machilipatnams, coast, Surat, Pattena",silk?,"fine, ordinary","small, wide (breed)","chiaboutrias, chironse, metselia, new",textile,,,,
chiourongs,chiourongs,,,y,n,?,textile/unclear,,,,,,,,,witte toncquinse,,,,,,,,,,,,
,chirans,,sometimes grouped as guinea cloth,,y,I1966: cheap calico usually listed with checkered goods (only one definition),textile,cotton,,colored threads (loom-patterned) (probably),check,plainweave,cheap,I1966: Northwest India,I1966: East and West Indies,,,,,,,,,textile,,,,
,chitrengas,,,n,y,"""CHITRENGAS - eenvoudige tapijten, ‘sijn bijna als de gestreepte lakenen in Schotland, dienende om over kisten en koffers te leggen’. Zie ook Yule-Burnell in voce sittringy."" (VOC-Glossarium 2000, p. 31) - only one definition",textile,,,colored threads (loom-patterned),stripe,,,,,,,,,,,,,,,,,
,chiuters,,"Chauter, chiouters",,,see CHAUTARS,textile,cotton,white,white,N/A,plainweave,cheap,Surat: Deriabade near Benares,east central and southeast Africa,deriabadys (place),,,Deriabadys,,,,,textile,,,,There is also deriabadys as a textile type…
,chuckerees,,"sometimes grouped as guinea cloth, chokree, chekars",,y,"I1966: cheap checkered calico, patterned in the loom",textile,cotton,multiple,colored threads (loom-patterned),check,plainweave,cheap,I1966: Northwest India,I1966: Guinea (for slave traders),,,,,,,,,textile,,,,
,chucklas,,chuclaes,,y,I1966: striped cloth of mixed silk and cotton,textile,cotton/silk,multiple,colored threads (loom-patterned),stripe,plainweave,,I1966: Northeast India: Bengal,"I1966: Europe, in small quantities",,,,,,,,,textile,,,,
,coetchiaal,,coutchiaal,n,y,"VOC: raw, unworked silk",fiber,silk,,,,,,,,,,,,,,,,,,,,
,comconnaes,,,,y,"I1966: plain cotton cloth, usually of inferior quality (only one definition)",textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,inferior,I1966: Northeast India,,,,,,,,,,textile,,,,
,coopees,,,n,y,"Chaudhuri: plain white, medium to superior quality (only one definition)",textile,,white,plain (undyed and unbleached?),solid (single color),,,,,,,,,,,,,,,,,
,cora,,,n,y,VOC: fine woven silk,textile,silk,,,,,fine,,,,,,,,,,,,,,,
corroots,corroots,,"Guinees, guinea-stoff, corrot, related to cambaay and negroskleed, carroots; korutts, corottes",y,y,"VOCgp35 - see guinees; VOCgp51: simple rough cotton cloth with checkered pattern, mostly from Gajarat and sold in Africa; Alpern: short, cheap blue fabric (definitions inconsistent about color - solid or checked?)",textile,cotton,varies,"colored threads (loom-patterned); piece-dyed (solid, single color)",check; solid (single color),plainweave,rough,Gajurat,,"grof, nieuw modese, red",red,,,,rough (grof),,new,textile,,,,
,cossaes,,"cassa, kassa",,,"I1966: plain muslin, usually of good quality, white or red - is this the same as cassa/caffa?",textile,cotton,,"undyed; piece-dyed (solid, single color)",solid (single color),plainweave,good,"I1966: Northeast India, chiefly Dacca district","I1966: SE Asia, Middle and Near East, and Europe, finest are reserved for eastern markets",,,,,,,,,textile,,I1966: 50-60 yards long and 7-8 hands wide,,
cuttanees,cottanijs of taffatijs,,"cuttanees, coutenijs",y,y,see CUTTANEES,textile,cotton/silk,,colored threads (loom-patterned),striped; striped/floral,satin,,,Africa,,,,,,,,,textile,,,,
,cottobanys,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
cotton,cotton,,"kattoen, cattoen",n,n,cotton fiber - unprocessed,fiber,cotton,,,,,,,,,,,,,,,,,,,,
kroonrassen,croonrassen,,kroonrassen - see also ras or rash,y,y,woven twilled cloth of woolen yarn (VijfpC),textile,wool,,,,twill,,,,"Ras (Croonrassen is one type), red, scharlaken red","red, scarlet red",,,,,,"ras, croonrassen",textile,wool,,,Vijf: sale price 65 gulden; they are mostly desired at San Tome
,culgars,,,,y,I1966: printed silk cloth,textile,silk,varies,printed,,,,I1966: Northwest India: Gujarat,I1966: England at end of 17th c,,,,,,,,,textile,silk,,,
,cummerbund,,,,y,I1966: sash or girdle worn around the waist,textile/garment,,,,,,,I1966: India,,,,,,,,,,finished piece,,,,
,cummuns,,cummun betilles,,y,I1966: a type of muslin,textile,cotton,,,,plainweave,,I1966: South India/Coromandel Coast: Golcanda,,,,,,,,,,textile,,,,
,cushtaes,,,,y,"I1966: striped or checkered woven cloth, probably mixed silk and cotton, first mentioned late 17th century; Alpern: striped blue and white or checked cloth, possibly mixed cotton and silk",textile,cotton/silk?,blue/white,colored threads (loom-patterned),stripe; check,plainweave,,I1966: Northeast India,,,,,,,,,,textile,,,,
cuttanees,cuttanees,,"kootnee, cuttanees, cuttanees, coutenijs, 'cottanijs of taffatijs'",y,y,"I1966: export cloth of mixed silk and cotton with satin weave, usually striped and sometimes interspersed with flowers (Alpern says same); see Agrawal in Crill 2006; RP: made in Gajarat - but there is also a definition that just refers to white or striped",textile,cotton/silk,varies,colored threads (loom-patterned),striped; striped/floral,satin,,I1966: Northwest India: Gujurat (esp. Ahmedabad-Cambay area),"I1966: England, for making of quilts; Africa",,,,,,,,,textile,,,,
?,Cyperse kleedjes,,,y,y,multi-colored clothes or rugs (not clear),garment or textile/finished,,multiple,,,,,Cypres,,,,,,,,,,,,,,"Vijf: used as gifts, not often in trade"
damask,damask,damask?,damasten,y,y,"characterized by a contrast in luster between warp and weft weaves, which are manipulated to produce patterns (so it's monochromatic), can be made of any fiber",textile,silk; other,varies (monochrome),"piece-dyed (solid, single color)",solid (single color),damask,high,,Africa,"geel, white Chinese","yellow, white",,Chinese,,,,,textile - silk,,,,
dasjes,dasje,,dasjes,y,n,? silk,textile/unclear,silk,,,,,,,,"bethilles, fijn, kust, bengaals/Pulikats",,,"coast, Bengal, Pulicat",,fine,,bethilles,,,,,
(to translate to sheets?),dekens,Blankets,deken,y,y,"blankets, bed coverings, made in Europe or India (VOC suggests salempuris is a type, what if these are related to slaaplakens? - MK",textile,,varies,,,,,"Leiden (but also English and Irish), and India",,"gekatoeneerd, kust, surats",,,"coast, Surat",cotton,,,cotton (gekatoneerd),textile,,,,
?,dekkleed,,,y,n,a finished item?,textile/unclear,,,,,,,,,von perzische gouden stof,golden,,Persia,,,,,,,,,
deriabadys,deriabads,,"deriabadys, deriabadijs",y,y,"Plain white cloths, maybe bleached, solid quality. I1966: good quality plain white calico, often brought to Broach by the English for bleaching, not mentioned after 1650",textile,cotton,white,bleached,solid (single color),plainweave,good,I1966: India: Uttar Pradesh,I1966: Near East and England,"Bengals, ",,,Bengal,,,,,textile,,,,
,diapers,,,n,y,"plain white cloths, Masulipatam",textile,,white,plain (undyed and unbleached?),solid (single color),,,Masulipatam,,,,,,,,,,,,,,
,dimity,,,,y,"white cloths, often woven with stripes, from India (Peck 2013); RP: fine, corded cotton fabric, white, dyed, or figured with colored yarns, used for tunics and other garments - definitions vary widely",textile,cotton,varies,undyed; colored threads (loom-patterned),stripe; solid (single color),plainweave,,,for tunics and other garments,,,,,,,,,,,,,
,diverse zyde stoffen,assorted silk fabrics,,,n,,textile,silk,,,,,,,,,,,,,,,,textile,silk,,,
canvas?,doek,,,y,,generic definition of 'cloth' - is this a thicker canvas-like cloth? (MK),textile,,,,,,industrial,,,"grauw, grauw Hollands, grauw smal, Hollands, ",gray,,Holland,,,narrow (smal),,industrial,,,,
,dom,,,,y,"""DOM - zijde van fijne kwaliteit, geweven van patteni. Ook: dom corea sea; corea is vermoedelijk identiek met cora."" (VOC-Glossarium 2000, p. 40)",textile,silk,,,,,fine,Patena?,,,,,,,,,,,,,,
dupattas,dopattas,,"jeckandames, doepetijs, toepettijs",y,y,"I1966: cloth in two widths (used as garment), usually of painted cotton",textile/garment,cotton,varies,painted,,plainweave,,I1966: South India/Coromandel Coast,I1966: Malay archipelago,fine red,red,,,,fine,,,garment,,,,
,dorbellas,,could be grouped with baftas or joories,,y,"I1966: same as baftas or joories, made in this town of Darbelo: generic term for plain calico, varying in quality from coarse to fine",textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,varies,I1966: Northwest India: Sind: Hyderabad Dt: Darbelo,,,,,,,,,,textile,,,,
,doreas,,"doranijs?, dorias, doerias, toria",,y,I1966: a striped or checkered fabric of mixed silk and cotton,textile,cotton/silk,multiple,colored threads (loom-patterned),stripe; check,plainweave,fine to superfine,"I1966: Northeast India, from Malda-Kasimbazar area","I1966: Europe, exported in large quantities at end of 17th century",,,,,,,,,textile,,,,same as douriasten?
,dosooties,,,,y,"plain white muslin. Bengal. medium, fine, and superfine quality (only one definition) - Sugiura 2019 p. 107 groups these with sailcloth",textile,cotton,white,plain (undyed and unbleached?),solid (single color),,medium to superfine,Bengal,,,,,,,,,,,,,,
dotanijs,dotanijs,,,y,n,?,textile/unclear,,,,,,,,,,,,,,,,,,,,,
douriassen,douriasten,,"dourias, doriassen",y,,"VOCgp40: striped cloths (doeken), either cotton or silk - the name indicates where its from",textile,cotton; silk,,colored threads (loom-patterned),stripe,plainweave,,,,"fijn, Bengaals, floral, ",,floral,Bengal,,fine,,,textile,,,,same as doreas?
,dragam,,"dragon, deragems, dronggans",,y,"cheap dyed cotton cloth, in red and black or dark red or brownish red -- striped or solid? (definitions contradictory)",textile,cotton,red/black,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; solid (single color),plainweave,cheap,I1966: South India/Coromandel Coast,I1966: Malay archipelago,,,,,,,,,textile,,,,
,drogetten,,,n,y,cloth woven in patterns (only one definition),textile,,,colored threads (loom-patterned),,,,,,,,,,,,,,,,,,
dongris,dungarees,,"dongerijs, dongry, dungaree, or poutkas/poucas, dongrijs",y,y,"I1966: strong coarse calico, usually dyed brown: VOCgp40: cheap cotton cloth (stof) used as sailcloth for prauwen, rough clothing, and packing material for fine cloths; VOC src_00004 confirms that Bengals dongris can also be called poutcas",textile,cotton,white; brown,"piece-dyed (solid, single color)",solid (single color),plainweave,coarse,"I1966: West Coast of India, mainly Goa region",I1966: Malay Archipelago and Europe,"bleached (Coromandels/coast/Machilipatnams/Tuticorins), bengaals, tot afpakking/bezorging/emballeren,  ruw, ruw bengaals, gebleekt met red hoofden, tot het voorstaande","bleached, raw, with red",with red border,"Coromandel, coast, Machilipatnam, Tuticorins, Bengal",,,,,textile,,,,
,dutties,,"dhootie, dotanijs",,y,"I1966: coarse cotton cloth, used mainly for sails and packing material; RP: a strong coarse cotton cloth, probably indigo dyed, used throughout east-central Africa and in interior trade across regions (the indigo definition is very different)",textile/utilitarian,cotton,white; blue,plain (undyed and unbleached?); dyed,solid (single color),plainweave,coarse,"I1966: Northwest India, especially Dholka",Africa,,,,,,,,,textile,,I1966: 12-15 yards by 1 yard,,
,dysooksies,,,,y,"plain white muslin, Bengal, fine quality (only one definition)",textile,cotton,white,plain (undyed and unbleached?),solid (single color),,fine,Bengal,,,,,,,,,,,,,,
,eckbraies,,,,y,"I1966: plain white cloth for making into chintz and quilts, sometimes sent to Ahmedabad for dyeing (only one definition)",textile,cotton,white,white,N/A,plainweave,,I1966: India: Uttar Pradesh: Fyzabad Dt: Akbarpur (maybe? Based on etymologyof name),"I1966: all the main markets, in the 1640s and 1650s",,,,,,,,,textile,,I1966: probably 36 inches wide,,
,ettecons,,,,y,"a striped material, made in the NLs of silk/wool blend (definitions are contradictory)",textile,silk/wool?,multiple,,stripe,,,Netherlands?,Africa,,,,,,,,,,,,,
,ektannys,,,y,,?,,,,,,,,,,,,,,,,,,,,,,
?,everdoek,,,y,n,,textile/utilitarian,,,,,,,,,"grauw, grauw breed/smal, wit breed, breed, Hollands wit, wit","gray, white",,Holland,,,"wide, narrow",,industrial,,,,
,faille,,,n,y,"tightly woven silk textile with a rib texture (Peck, only one definition)",textile,silk,,,,textured?,,,,,,,,,,,,,,,,
yarn,florette garen,"silk yarn (or is it more complicated?) - yarn made from waste silk - short fibers spun together (Colenbrander186, 190)","floretgaren, moghtasijde, ferret, fioretti, fioretto",y,y,yarn with silk threads (VOCglp45) - waste silk (MK),yarn,silk,,,,N/A,,,,"bengaals, chiomen, eigen gerede",,,Bengal,,,,"chiomen, eigen gerede",yarn,silk,,,
silk,florette zijde,,,n,y,waste silk - in threads or just loose fibers? (MK),fiber,silk,,,,,,,,,,,,,,,,,,,,
velvet,fluweel,velvet,felp,y,y,velvet,textile,,,,,velvet,,,,"blauw Hollands, gebloemd Hollands of cassa, gesorteerd Perzisch, groen, hollands, karmozijn hollands, perzisch, purper/black hollands, blue Persian, Chinese, Hollands, karmozijn red","blue, green, crimson, purple/black",floral,"Holland, Persia, Chinese",,,,,textile,,,,
fustian,fustian,,"fasteyn, fusteyn, fustagno",,y,European fabric with a linen warp and a cotton weft,textile,cotton/linen,varies,,,plainweave,,,,,,,,,,,,,,,,
,ganzenoogjes,,"ganzenoochies, Coesveldt linen",n,y,linen cloth (VijfpCI) (only one definition),textile,linen,,,,,,Coesveldt?,,,,,,,,,,textile,,approx. 25 el,,Vijf: sale price 22 gulden
yarn,garen,yarn,garen,,n,see YARN,yarn,,,,,,,,,"gemeen, (grof/fine) Hollands, cotton, cotton Javaans/Bengals/Surats/Tutucorins, (cotton) Tuticorins, ruw, Surats, tesser, kardoes, bengals cotton, florette, from the coast, gekleurd; pak- en zeil-, tot voering, white, kardoes","white, colored, raw",,"Holland, Java, Bengal, Surat, Tutucorin, coast","cotton, tesser, florette","common, fine, rough",,"kardoes, pak- en zeil-",yarn,,,,
,garlix,,,n,y,"linen from Goerlitz, Silesia (Peck) (only one definition)",textile,linen,,,,,,,,,,,,,,,,textile,,,,
,gauze,,,n,y,generic name for thin silk,textile,silk,,,,,,,,,,,,,,,,textile,,,,
gerras,gerras,,"gerassen, garras, gurras, gharas, gurraes, garha, guzee",y,y,"Unbleached plain cloths, coarse to medium quality VOCgp48: cotton clothes or cloths from Bengal; I1966: plain cotton cloth, coarse, unbleached fabrics that might be the clothing of the poor, but also used for packing goods and shrouds; RP: ordinary cotton calico",textile,cotton,unbleached,N/A,solid (single color),plainweave,coarse to medium,VOCgp48 and others: Bengal,,"bengaals, bleached, ",bleached,,Bengal,,,,,textile,,,,
,gert-kerckerie,,,n,y,Bengal silk of third quality (VOC-Glossarium - only definition),textile,silk,,,,,third quality (?),,,,,,,,,,,,,,,
gessiapats,gessiapats,,,y,n,?,textile/unclear,,,,,,,,Malabar,rood,red,,,,,,,,,,,
,gilams,,gilems,n,y,"Persian silk cloth, which is also imitated in China for the Japan market (VOC glossarium - only definition)",textile,silk,,,,,,,,,,,,,,,,,,,,
gingham,ginghams,ginghams,"gingam, ginggang",y,y,"There is a huge variety of this cloth - many modifiers. General consensus is that it is a mixed cotton and other fiber (often wild silk) weave and thus there is some texture, but it could also be all cotton (and have perhaps a multi-strand weave pattern). They can be plain or striped or checked. ",textile,cotton; cotton/silk,varies,colored threads (loom-patterned),stripe; check; solid (single color),might have double-threaded warps and wefts (creates a texture),,"I1966: Northeast India: Bengal, but also Masulipatam and further south: VOCgp48: Coromandel (maybe among others?)",I1966: Europe extensively in 2nd half of 17th century; African,"beddentijk (fine/gemeen/coast), dronggangs, dronggangs kust/Coromandels/gemeen, effen (Bengaals), (fine) geruit (Kust/onderbroek), gestreept, gestreept Bengals, onderbroeken, onderbroeken geruit, onderbroeken kust/Pulicats, pinasse, pinasse bengals, pinasse kust/fine/gemeen, rood (kust), sestienes (coast), taffachelas, taffachelas bengals/ fijn/kust/bleached striped, blue","red, blue, bleached","striped, checkered","coast, Coromandel, Bengal, Pulikat",,"fine, common",,"beddentijk, dronggangs, effen, onderbroek, pinasse, sestienes, taffachelas",textile,,I1966: 10 yards by 1 yard; RP: 20 yards by 1 yard,,
golgas,golgassen,,"golga, golgas",y,y,"VOCGp49: colored linens (lijnwaden) from Gujarat, also later is the term for flannel with colored figures (also known as Turks flannel) - there is only this single definition",textile,,varies,,figures?,,,Gujarat (India),,Surats,,,Surats,,,,,textile,,,,
?,golmandels of neckjes,,,y,n,same as nickanees?,textile/unclear,,,,,,,,,nekjes,,,,,,,nekjes,,,,,
?,gordelsits,,,y,n,a type of chintz?,textile,,,,,,,,,"grof, groot, groot kust/Pulicats, klein, klein kust, (klein) zonder boorden",,without borders (zonder boorden),"coast, Pulicats",,"rough (grof), ","large (groot), small (klein)",,textile,,,,
,goshee,,,n,y,a Chinese silk/cotton blend textile (Peck - sole definition),textile,,,,,,,,,,,,,,,,,,,,,
?,goudlaken,,,y,n,?,textile,,,,,,,,,persian,,,Persia,,,,,,,,,
,goudrijs,,,n,y,VOC glossarium: Gujarati textile,textile,,,,,,,,,,,,,,,,,,,,,
,goulongs,,,n,y,"RP: a variety patterned in the loom and which usually incorporated gold thread, for making into Malay sarongs (only one definition)",textile,,,colored threads (loom-patterned),,,,,Malay for sarongs,,,,,,,,,textile,,,,
govers,govers,,"cobars, coubours, gobars",y,y,double-wide cotton 'lappen' (VOC p50),textile,cotton,brown-blue,colored threads (loom-patterned),,,,,,"mataram, mataram kust",,,"Mataram, coast",,,,,textile,,,,
,graatjes,,"graaties, graten",y,y,"? may not be a textile, it's in Henk's pricelist; this is in WIC lists; also referenced in Postma--seems to an inexpensive textile used in the slave trade",unclear,,,,,,,,,,,,,,,,,,,,,
grein,grogram/grein,,"grofgrein, gorgoron",y,y,"textured textile of mixed fibers - including silk, mohair, wool, camelhair (definitions not entirely consistent). Note: there is also a spice called grein (or Guineese peper, or malagatta)",textile,varies (mixed),,,,,,,,none,,,,,,,,,,,,
guinea cloth,guinea-stuffs,guinea cloth,"Guinees, guinea-stoff, corrot, related to cambaay and negroskleed",y,y,"Indian cotton cloths, white with blue stripes or checks, coarse I1966: generic term for a wide range of cheap, brightly colored calicos, mostly striped or checkered; VOCgp51: simple rough cotton cloth with checkered pattern, mostly from Gajarat and sold in Africa; Crill p 149 either generic cloth destined for Africa, or specifically indigo-dyed cloth",textile,cotton,blue/white,"colored threads (loom-patterned); piece-dyed (solid, single color)",stripe; check; solid (single color),plainweave,cheap,I1966: Northwest India; Gujarat,I1966: Guinea (for slave traders),"blauw, blauw kust, bleached, bleek blauw, bruin blauw, bruin blauw kust, fijn bleached/kist, fine bleached coast, bleached Machilipatnams/Tuticorins/Bengals, gemeen gebleekt (Coromandels/Kust/Machilipatnams/Pulicats/Tuticorins), gemeen gebleekt kust, gemeen ruw, rouw/ruw, ruw kust, ruw tuticorins/Machilipatams/Pulicats, lijnwaad (bleached/ruw) (Bengals)","blue, bleached, brown blue, raw",,"coast, Machilipatnams, Tuticorin, Bengal, Coromandel, Pulicat",,common,,lijnwaad,textile,coarse,,,
,guldars,,guldarees,n,y,"I1966: fine muslin turban-cloths, embroidered or brocaded; with silver/gold thread at the edges",textile,cotton,white with silver; gold,supplemental thread,borders; varies,plainweave; brocade; embroidered,fine,"I1966: Northwest India, mostly in Burhanprur area","I1966: Near East, especially Turkey",,,,,,,,,garment,,,,
gunny,guni,gunny?,"goenij, gonje, gonni, gunnies",y,y,"jute, Bengal hemp, and fabric woven from it, mostly used for sacks (VOCgp51) - this might also just be the sacks",textile/utilitarian,hemp,,N/A,N/A,plainweave,,"Bengal; I1966: Northwest India: Rajapur and Karwar areas near Goa; Broach, and also Malabar Coast",I1966: England,"gemeen gebleekt kust, gemeen wit, lang (Bengaals), tot afpakking/emballeren","bleached, white",,"Bengal, coast",,common,long (lang),,textile,,,,
gunny sack,gunizak,gunny sack,,y,n,"gunny sack, made of coarse fabric (this is the finished version of guni)",textile/finished,hemp,,N/A,N/A,plainweave,,,,tot het granen/etc (for packing these things),,,,,,,,industrial and packing,,,,
,gurras,,"garras, gerras",n,n,see GERRAS,textile,cotton,,,,plainweave,coarse,"I1966: Northest India, especially Orissa",I1966: Europe (occasionally),,,,,,,,,textile,,,,
,guzzees,,gaz,n,y,"I1966: ordinary plain white calico, dyed at Ahmedabad - used to make other textiles (several definitions)",textile,cotton,white,N/A,N/A,plainweave,ordinary,"I1966: Northwest India, woven at Gokul in Muttra Dt, dyed at Ahmedabad",,,,,,,,,,textile,,I1966: Surat: 26-27 inches wide; Ajmer: 32 inches wide; Ilahi (Akbar): 33 inches wide,"Forbes Watson, vol 8, no. 298 (according to Irwin, MK has not seen this volume)",
hair canvas?,haardoek,,,y,y,"VOC glossarium: a rough textile, mostly from goat hair (only one definition)",textile,wool (goat hair),,,,,,,,none,,,,,,,,industrial?,,,,
,Haarlemmer kleden,,"Haarlemmer doeken, cleden",n,y,"checkered or floral cloth, stiffly starched (VijfpCI) (two nearly identical definitions)",textile,,,colored threads (loom-patterned),check; floral,,,,,,,"checkered, floral",,,,,,textile,,,,"Vijf: desired all along the coast, costs 1 gulden per item, sale price, 2 gulden/stuck (and more exchange rates supplied)"
hammans,hammans,,hummun,y,y,"VOCgp52: cloths that are thick and strong, used as shawls in the winter and also for hand towels (consistent across definitions)",textile,cotton,,N/A,N/A,plainweave,heavy,Arabic term,,fijn,,,,,fine,,,textile,,,,
,handkerchief,,,n,y,"see NEUSDEUKEN, BANDANA",textile/handkerchief,,,,,,,,,,,,,,,,,,,,,
,handrottingen (?),? (also not sure it's a textile),handrotan,y,n,rattan - probably not to be considered a textile,unclear,,,,,,,,,eenledig,,,,,,eenledig,,,,,,
heeren says?,heerensayen,,"heeresaai, overkijkers",y,y,"wool cloth of better quality, length is 36 el (vijfpCI)",textile,wool,,,,,better,,,none,,,,,,,,wool,,,,"Vijf: costs approx. 40 gulden, sells for 64 gulden (and other exchange)"
hemp canvas,hennepdoek,,,y,n,hemp cloth?,textile,hemp,,,,,,,,grauw,gray,,,,,,,,,,,
,herba,,tussar,n,y,see TUSSUR,,,,,,,,,,,,,,,,,,unprocessed fiber,silk,,,
hat,hoed,hat,"mannenhoed, muts (cap)",y,y,hat,garment accessory,,,,,,,,,"fine, white/black, gemeen","white, black",,,,"fine, common",,,finished piece,,,,
Holland cloth,Holland cloth,,Hollands lijwaet,n,y,Holland linen (or other European linens),textile,linen,,,,,,,,,,,,,,,,,,,,
?,hoofddoek,,,y,n,?,textile,,,,,,,,,,,,,,,,,,,,,
,humhums,,"hammans, hamoenes",n,y,"plain white muslin, superior to fine quality",textile,cotton,,plain (undyed and unbleached?),N/A,plainweave,varies,,,"Bengals, fine, gemeen",,,Bengal,,"fine, common",,,textile,,,,
,hussanees,,sometimes grouped as guinea cloth,n,y,"I1966: cheap checkered or striped calico, patterned in the loom",textile,cotton,,colored threads (loom-patterned),stripe; check,plainweave,cheap,I1966: Northwest India,I1966: Guinea (for slave traders),,,,,,,,,textile,,,,
,indianillas,,,n,y,Peck: printed cotton textiles made in Mexico in imitation of East Indian calicos (sole definition),textile,cotton,,printed,,,,,,,,,,,,,,,,,,
,Indische kleden,,pintados (later name),n,y,"various, generic: can include colors, patterns, painted, batik, chintz; later called pintados (VijfpCI)",textile,,,painted; printed,,,,"India, various",,,,,,,,,,,,,,Vijf: desired all along the coast; see chintz
,izarees,,,n,y,definitions vary: from a finishing technique to being pants or just plain white cloth,unclear,,,,,,,India: Andhra region,,,,,,,,,,technique,,,,
